Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
ch1_s2_2_5980f6d4		I look at the other members of the party expectantly.	game/story scripts/ch1.1-5.rpy	123	"[what]"
ch1_s2_2_47f90ee6	b	Ahh... my name is Bogdan. I stab things for a living.	game/story scripts/ch1.1-5.rpy	124	b "[what]"
ch1_s2_2_971e5910	a	A very eloquent way to introduce yourself, Bogdan. I applaud your creativity. I'm Andia.	game/story scripts/ch1.1-5.rpy	125	a "[what]"
ch1_s2_2_ae871ed0	d	Are you the kind of wizard who blows things up?	game/story scripts/ch1.1-5.rpy	127	d "[what]"
ch1_s2_2_9dacdbb7	a	Gods forbid, I am not. My element is more subtle than that. I work with wind.	game/story scripts/ch1.1-5.rpy	128	a "[what]"
ch1_s2_2_83f77c1a	z	And I also stab things for a living as well as try to talk them out of their clothes.	game/story scripts/ch1.1-5.rpy	130	z "[what]"
ch1_s2_2_429c6cb4	d	You are a man of words, truly.	game/story scripts/ch1.1-5.rpy	131	d "[what]"
ch1_s2_2_3654a699		They seem like nice folks. But what do they want with me?	game/story scripts/ch1.1-5.rpy	132	"[what]"
ch1_s2_2_7e7bac06	d	So... what brings you to me? Did you like the story? My playing? Or just my looks?	game/story scripts/ch1.1-5.rpy	133	d "[what]"
ch1_s2_2_66a8935b	z	All of it, of course! As you can see we are a party of three adventurers: a frontline fighter, a stealthy rogue, and a powerful wizard. What is missing in our lives then?	game/story scripts/ch1.1-5.rpy	134	z "[what]"
ch1_s2_2_e54edd40	b	...Money?	game/story scripts/ch1.1-5.rpy	136	b "[what]"
ch1_s2_2_5a9f886e	a	Gods, help us!	game/story scripts/ch1.1-5.rpy	137	a "[what]"
ch1_s2_2_2247e1ac	z	Well, that too. But I wasn't asking you, I was asking Dobrava. What do you think?	game/story scripts/ch1.1-5.rpy	138	z "[what]"
ch1_s2_2_17ee5e76		What do I think they are missing?	game/story scripts/ch1.1-5.rpy	139	"[what]"
ch1_s2_2_4bf4ea1b	d	You don't seem to be very well-equipped.	game/story scripts/ch1.1-5.rpy	145	d "[what]"
ch1_s2_2_03075257	b	My sword is good for stabbing people!	game/story scripts/ch1.1-5.rpy	147	b "[what]"
ch1_s2_2_4f3eac90	z	Yes, I am sure of that... after thte last maiden who ran away after spending a night with you.	game/story scripts/ch1.1-5.rpy	149	z "[what]"
ch1_s2_2_7689a01f	b	But that's not what I meant at all!	game/story scripts/ch1.1-5.rpy	151	b "[what]"
ch1_s2_2_4f5f4e8a	z	But yes, we are indeed missing magical items. Though that's not why we approached you.	game/story scripts/ch1.1-5.rpy	153	z "[what]"
ch1_s2_2_93b313ec	d	This is the first time I saw you around here. Are you a new group? Not famous yet?	game/story scripts/ch1.1-5.rpy	158	d "[what]"
ch1_s2_2_0c231336	z	It pains my heart, you've never heard of us: The... what are we called again?	game/story scripts/ch1.1-5.rpy	160	z "[what]"
ch1_s2_2_561b6b76	a	I'd rather not be called anything as a group than go by a cringy name you come up with.	game/story scripts/ch1.1-5.rpy	161	a "[what]"
ch1_s2_2_8d4baf03	z	You wound me. But it's true, my sense of naming is terrible. Maybe Dobrava could help us later.	game/story scripts/ch1.1-5.rpy	162	z "[what]"
ch1_s2_2_7b496beb	z	But that's not why we approached you.	game/story scripts/ch1.1-5.rpy	164	z "[what]"
ch1_s2_2_6c759d0a	d	Are you seeking knowledge? I know any stories about the heroes and villains of these lands.	game/story scripts/ch1.1-5.rpy	169	d "[what]"
ch1_s2_2_e4f74955	a	And I am very interested in learning everything you know. Are you familiar with...	game/story scripts/ch1.1-5.rpy	171	a "[what]"
ch1_s2_2_16eaba59	z	Now now, Andia!	game/story scripts/ch1.1-5.rpy	173	z "[what]"
ch1_s2_2_046884db	a	But...	game/story scripts/ch1.1-5.rpy	174	a "[what]"
ch1_s2_2_8627d37e	z	When Andia starts, she won't leave you be. And while I appreciate your knowledge, that's not why we approached you.	game/story scripts/ch1.1-5.rpy	175	z "[what]"
ch1_s2_3_ee53f51c	d	Then why did you?	game/story scripts/ch1.1-5.rpy	180	d "[what]"
ch1_s2_3_39455583	z	Do you know any healing spells?	game/story scripts/ch1.1-5.rpy	182	z "[what]"
ch1_s2_3_dc1c6eeb	d	...Yes, of course. Healing songs were part of my training as a bard and I'm knowledgeable about herbalism and alchemy as well as first aid.	game/story scripts/ch1.1-5.rpy	183	d "[what]"
ch1_s2_3_5ec6307d	z	See! Told you she knows her stuff!	game/story scripts/ch1.1-5.rpy	185	z "[what]"
ch1_s2_3_a267e31c	b	They seem very capable indeed!	game/story scripts/ch1.1-5.rpy	188	b "[what]"
ch1_s2_3_db795ef3	b	She seems very capable indeed!	game/story scripts/ch1.1-5.rpy	190	b "[what]"
ch1_s2_3_7bd1f2f0	a	Reluctant as I am to agree with you on anything, I must admit you are right this time.	game/story scripts/ch1.1-5.rpy	192	a "[what]"
ch1_s2_3_6ba1ce3d	z	A rare occasion!	game/story scripts/ch1.1-5.rpy	193	z "[what]"
ch1_s2_3_e7d6bcba	d	I still don't understand. What do healing spells have to do with you approaching me?	game/story scripts/ch1.1-5.rpy	194	d "[what]"
ch1_s2_3_a1f07014	z	Well of course I want you to join us!	game/story scripts/ch1.1-5.rpy	195	z "[what]"
ch1_s2_3_19b83ead	d	Join... you...?	game/story scripts/ch1.1-5.rpy	197	d "[what]"
ch1_s2_3_c1e2ac2c	a	Yes, as the party's healer. An adventurer.	game/story scripts/ch1.1-5.rpy	198	a "[what]"
ch1_s2_3_2861c895	z	Life as a bard may be nice, but are you interested in trying something more action-oriented?	game/story scripts/ch1.1-5.rpy	199	z "[what]"
ch1_s2_3_b95efa92	d	I...	game/story scripts/ch1.1-5.rpy	200	d "[what]"
ch1_s2_3_7dddc2bf	b	...In watching us stab monsters and having a new story to tell and sing about?	game/story scripts/ch1.1-5.rpy	201	b "[what]"
ch1_s2_3_a8699778	d	Well...	game/story scripts/ch1.1-5.rpy	202	d "[what]"
ch1_s2_3_61062112	a	...In travelling the land with us and gathering ancient knowledge and uncovering forgotten lore?	game/story scripts/ch1.1-5.rpy	203	a "[what]"
ch1_s2_3_1523fe20	d	...	game/story scripts/ch1.1-5.rpy	204	d "[what]"
ch1_s2_3_9f332063		Am I? I was trained with the possibility of being an adventuring bard, rather than one who always sits in the same tavern, telling stories and singing songs for anyone who wanted to listen.	game/story scripts/ch1.1-5.rpy	205	"[what]"
ch1_s2_3_daa48749		But... fighting actual monsters rather than singing about them? Is that something I can do?	game/story scripts/ch1.1-5.rpy	206	"[what]"
ch1_s2_3_8b4beef9	a	...You're not afraid, are you?	game/story scripts/ch1.1-5.rpy	207	a "[what]"
ch1_s2_3_29c310a6	b	Maybe she just doesn't like us...	game/story scripts/ch1.1-5.rpy	209	b "[what]"
ch1_s2_3_c5800eb2	z	Hush, let her think.	game/story scripts/ch1.1-5.rpy	211	z "[what]"
ch1_s2_3_97e0661a		Even if I was scared, I would never admit that to their beautiful faces!	game/story scripts/ch1.1-5.rpy	212	"[what]"
ch1_s2_3_ef8d97e7	d	Who? Me? Scared? What do you take me for?! Of course I'm not afraid! What would I be afraid of? After all, I would be with brave adventurers who will protect me!	game/story scripts/ch1.1-5.rpy	214	d "[what]"
ch1_s2_3_a18bdcc1	d	I'll do it!	game/story scripts/ch1.1-5.rpy	215	d "[what]"
ch1_s2_3_78c392bf		...What?	game/story scripts/ch1.1-5.rpy	216	"[what]"
ch1_s2_3_3d497e4f		Did I just... agree to join them?	game/story scripts/ch1.1-5.rpy	217	"[what]"
ch1_s2_3_b0d21dbc	z	Brilliant!	game/story scripts/ch1.1-5.rpy	219	z "[what]"
ch1_s2_3_534f7f6a	a	Happy to have you with us!	game/story scripts/ch1.1-5.rpy	221	a "[what]"
ch1_s2_3_8ab5d0e5	b	Yay! Now I can actually be in less pain after being bitten by a monster!	game/story scripts/ch1.1-5.rpy	223	b "[what]"
ch1_s2_3_78172f92		...What have I done?!	game/story scripts/ch1.1-5.rpy	224	"[what]"
ch1_s2_3_edd485d2	z	Welcome to the party, Dobrava! I hope our time together will bring us many riches, glory, and knowledge! As well as many stories for you to tell!	game/story scripts/ch1.1-5.rpy	225	z "[what]"
ch1_s2_3_98da3055	d	...yes, thank you.	game/story scripts/ch1.1-5.rpy	227	d "[what]"
ch1_s3_f5ed2af9		After eating dinner with my new adventuring party, the time comes - my first quest. There's a first time for everything, I guess.	game/story scripts/ch1.1-5.rpy	240	"[what]"
ch1_s3_cd0c245d	a	There's this Elven ruin nearby I'm interested in. It's about 500 years old, from before the time-	game/story scripts/ch1.1-5.rpy	242	a "[what]"
ch1_s3_1111cdea	z	And we are sure to find some treasure in here!	game/story scripts/ch1.1-5.rpy	245	z "[what]"
ch1_s3_f0eff9e3	b	And monsters to stab!	game/story scripts/ch1.1-5.rpy	247	b "[what]"
ch1_s3_2_ca4d0229	d	Please tell us more about the history of the ruin, Andia.	game/story scripts/ch1.1-5.rpy	261	d "[what]"
ch1_s3_2_1f38c5cd	a	Finally someone interested in more than just riches and combat. Very well. As you know, Dobrava, Ostoya was the land of elves, called Eduan.	game/story scripts/ch1.1-5.rpy	263	a "[what]"
ch1_s3_2_2ec873e2	a	That was before the Darkness came and swallowed the whole continent, making vast areas of it unlivable. The Elves could not stand living among the shorter-living races and most of them left for the New Land and Kingdoms of the Sun and Moon.	game/story scripts/ch1.1-5.rpy	264	a "[what]"
ch1_s3_2_c1d3916a	a	But their ruins remained. Many still hold secrets behind locked doors as few people these days can read the ancient Elven tongue.	game/story scripts/ch1.1-5.rpy	265	a "[what]"
ch1_s3_2_52259539	d	Do you know the Elven tongue, Andia?	game/story scripts/ch1.1-5.rpy	266	d "[what]"
ch1_s3_2_f33f29c3	a	I would not call myself an expert on it, but I can read and understand many of the words.	game/story scripts/ch1.1-5.rpy	268	a "[what]"
ch1_s3_2_9018776a	a	I'm not as good at speaking and writing it as I rarely have the chance to use those skills as an adventurer.	game/story scripts/ch1.1-5.rpy	269	a "[what]"
ch1_s3_2_52dfd042	a	But if there is a riddle to solve or a magic barrier which requires a key word to open, I think I'll be able to figure it out. I've done so in the past.	game/story scripts/ch1.1-5.rpy	271	a "[what]"
ch1_s3_2_16dc486d	a	I'm great at finding the right answers.	game/story scripts/ch1.1-5.rpy	272	a "[what]"
ch1_s3_2_4d99bcc1	b	And if Andia is wrong, then many monsters come out which is good too!	game/story scripts/ch1.1-5.rpy	274	b "[what]"
ch1_s3_2_25865378	z	There is never a wrong answer, since we get gold out of it either way!	game/story scripts/ch1.1-5.rpy	276	z "[what]"
ch1_s3_2_ddb71f60	a	Monsters and gold, that's all they care about. I'm happy to finally have someone interested in history and lore on the team.	game/story scripts/ch1.1-5.rpy	278	a "[what]"
ch1_s3_2_f36a1719	d	I'm always happy to talk and learn more!	game/story scripts/ch1.1-5.rpy	280	d "[what]"
ch1_s3_3_0855d9d4	d	This treasure you are talking about-what could it be?	game/story scripts/ch1.1-5.rpy	294	d "[what]"
ch1_s3_3_fc8744f9	z	Anything related to Elves that withstood the passage of time. Weapons, amulets, jewels, ancient coins...	game/story scripts/ch1.1-5.rpy	296	z "[what]"
ch1_s3_3_5ec7b936	a	Books!	game/story scripts/ch1.1-5.rpy	298	a "[what]"
ch1_s3_3_4a5f3a96	d	I don't think any books would be left in a damp ruin after 500 years...	game/story scripts/ch1.1-5.rpy	299	d "[what]"
ch1_s3_3_75ffebd6	a	Ah, but they could if the cabinet they were stored in was magically preserved!	game/story scripts/ch1.1-5.rpy	300	a "[what]"
ch1_s3_3_0f99474b	z	What are the chances of that?	game/story scripts/ch1.1-5.rpy	302	z "[what]"
ch1_s3_3_1b2ca8b9	a	...Very low.	game/story scripts/ch1.1-5.rpy	304	a "[what]"
ch1_s3_4_e795c625	d	What kind of monsters can we expect, Bogdan?	game/story scripts/ch1.1-5.rpy	318	d "[what]"
ch1_s3_4_3913f9eb	b	Hopefully the type that dies when it is killed!	game/story scripts/ch1.1-5.rpy	320	b "[what]"
ch1_s3_4_e2eba826	d	There are monsters that don't die when you stab them?	game/story scripts/ch1.1-5.rpy	321	d "[what]"
ch1_s3_4_ab04ad13	b	Yes, plenty of those! Undead, slimes...	game/story scripts/ch1.1-5.rpy	323	b "[what]"
ch1_s3_4_02b534af	z	Giant spiders!	game/story scripts/ch1.1-5.rpy	325	z "[what]"
ch1_s3_4_b2ab6012	b	Hey! That was just one time!	game/story scripts/ch1.1-5.rpy	327	b "[what]"
ch1_s3_4_55ec6af9	z	I'll always remember you dropping your sword when a spider emerged-	game/story scripts/ch1.1-5.rpy	328	z "[what]"
ch1_s3_4_7249475d	b	Everyone is scared of something!	game/story scripts/ch1.1-5.rpy	329	b "[what]"
ch1_s3_5_deffc2da	z	Let's leave for the ruin then! It's an hour walk through the forest!	game/story scripts/ch1.1-5.rpy	342	z "[what]"
ch1_s3_5_12e45ca9	d	Wait... now?	game/story scripts/ch1.1-5.rpy	344	d "[what]"
ch1_s3_5_49cef9e1	z	Of course! We have to work to eat, after all. So let's get rich!	game/story scripts/ch1.1-5.rpy	345	z "[what]"
ch1_s3_5_937040fa	b	Let's go! Let's fight!	game/story scripts/ch1.1-5.rpy	347	b "[what]"
ch1_s3_5_c2a94a4e	a	And gain some valuable knowledge!	game/story scripts/ch1.1-5.rpy	349	a "[what]"
ch1_s3_5_0fbf23e8	d	...Alright, let's go now then.	game/story scripts/ch1.1-5.rpy	350	d "[what]"
ch1_s4_58e508c2		We've been on the road for half an hour now and I can't help but realise one thing about my party...	game/story scripts/ch1.1-5.rpy	364	"[what]"
ch1_s4_b155881b	b	I took off my pants and then she ran away from me screaming!	game/story scripts/ch1.1-5.rpy	370	b "[what]"
ch1_s4_e2302e40		...they never stop talking.	game/story scripts/ch1.1-5.rpy	371	"[what]"
ch1_s4_e82c4a3a	b	My feelings were really hurt!	game/story scripts/ch1.1-5.rpy	372	b "[what]"
ch1_s4_90c56e2c		Zygmunt laughs really loudly, holding his stomach and Andia facepalms.	game/story scripts/ch1.1-5.rpy	373	"[what]"
ch1_s4_2_e30fbcff	d	Bogdan... I'm so sorry... I hope you're not too devastated.	game/story scripts/ch1.1-5.rpy	387	d "[what]"
ch1_s4_2_b3c57cea	b	Devastated? Why would I be?	game/story scripts/ch1.1-5.rpy	389	b "[what]"
ch1_s4_2_0796eb06	d	It ruined your night, didn't it? You were hoping to "score"?	game/story scripts/ch1.1-5.rpy	391	d "[what]"
ch1_s4_2_34debb6d	z	Ah, don't worry about that, Dobrava. Twenty minutes later he had another girl in his lap.	game/story scripts/ch1.1-5.rpy	392	z "[what]"
ch1_s4_2_0ff0033a		I'm puzzled by this. I'm pretty popular with all genders but even I don't find that many people who want to spend the night with me.	game/story scripts/ch1.1-5.rpy	393	"[what]"
ch1_s4_2_e513d428	d	I see...	game/story scripts/ch1.1-5.rpy	394	d "[what]"
ch1_s4_2_69225871	b	Stupid Zygmunt! Can you see the look on her face?	game/story scripts/ch1.1-5.rpy	397	b "[what]"
ch1_s4_2_e43be4cf	b	Stupid Zygmunt! Can you see the look on their face?	game/story scripts/ch1.1-5.rpy	399	b "[what]"
ch1_s4_3_19827398	d	Oh my gods, I think I'm gonna die from laughter.	game/story scripts/ch1.1-5.rpy	404	d "[what]"
ch1_s4_3_6293cb75	d	Just how scary must your "thing" be for someone to run away screaming.	game/story scripts/ch1.1-5.rpy	405	d "[what]"
ch1_s4_3_760319e4	b	Scary? I really hope not! Would you mind checking?	game/story scripts/ch1.1-5.rpy	407	b "[what]"
ch1_s4_3_755634bf		He grabs his trousers but before he can pull them down, Zygmunt stops his hand.	game/story scripts/ch1.1-5.rpy	411	"[what]"
ch1_s4_3_d39c2fdd	z	Stupid Bogdi! Don't do that, you dickhead!	game/story scripts/ch1.1-5.rpy	413	z "[what]"
ch1_s4_3_3b0663fc	b	Why not?!	game/story scripts/ch1.1-5.rpy	414	b "[what]"
ch1_s4_3_622315c8	z	Can't you see the look on Dobrava's face?	game/story scripts/ch1.1-5.rpy	415	z "[what]"
ch1_s4_4_04bd4ba5	d	That is the cringiest thing I've heard today.	game/story scripts/ch1.1-5.rpy	420	d "[what]"
ch1_s4_4_133dc3f6	a	I wholeheartedly agree.	game/story scripts/ch1.1-5.rpy	421	a "[what]"
ch1_s4_4_e5a3c6d4	z	Let me add to it: twenty minutes later he had another girl in his lap.	game/story scripts/ch1.1-5.rpy	423	z "[what]"
ch1_s4_4_0ff0033a		I'm puzzled by this. I'm pretty popular with all genders but even I don't find that many people who want to spend the night with me.	game/story scripts/ch1.1-5.rpy	424	"[what]"
ch1_s4_4_e513d428	d	I see...	game/story scripts/ch1.1-5.rpy	426	d "[what]"
ch1_s4_4_69225871	b	Stupid Zygmunt! Can you see the look on her face?	game/story scripts/ch1.1-5.rpy	429	b "[what]"
ch1_s4_4_59b268c1		Stupid Zygmunt! Can you see the look on their face?	game/story scripts/ch1.1-5.rpy	431	"[what]"
ch1_s4_5_ce14e0be	b	Oh no... she's disgusted with me!	game/story scripts/ch1.1-5.rpy	438	b "[what]"
ch1_s4_5_7ffba0e4	b	Oh no... they're disgusted with me!	game/story scripts/ch1.1-5.rpy	440	b "[what]"
ch1_s4_6_661c12e3	d	I am... but only a little. I don't want to sound like I'm judging you, Bogdan. You do you. But I don't like sleeping around all that much.	game/story scripts/ch1.1-5.rpy	449	d "[what]"
ch1_s4_6_305352e8	d	I believe in one true love.	game/story scripts/ch1.1-5.rpy	451	d "[what]"
ch1_s4_6_c29b182b	z	Huh?! A bard that doesn't sleep around?!	game/story scripts/ch1.1-5.rpy	453	z "[what]"
ch1_s4_6_4f0931ac	d	Believe it or not, bards are people too. We're a diverse group.	game/story scripts/ch1.1-5.rpy	455	d "[what]"
ch1_s4_6_7537faf3	z	I see, my apologies.	game/story scripts/ch1.1-5.rpy	457	z "[what]"
ch1_s4_6_08dc45de	b	That's amazing though, Dobrava. I believe in helping love find me, but I respect your choice too.	game/story scripts/ch1.1-5.rpy	460	b "[what]"
ch1_s4_6_53814f59	a	And so do I. Finally a companion who thinks like me!	game/story scripts/ch1.1-5.rpy	462	a "[what]"
ch1_s4_7_86f2ea37	d	Of course I'm not! I'm a bard after all, I like flirting and getting to know people intimately.	game/story scripts/ch1.1-5.rpy	467	d "[what]"
ch1_s4_7_5b01bba5	d	Love should be shared with as many people as possible!	game/story scripts/ch1.1-5.rpy	469	d "[what]"
ch1_s4_7_aee69532	z	A woman of my heart. I'm so moved!	game/story scripts/ch1.1-5.rpy	471	z "[what]"
ch1_s4_7_1ef0d5f4	a	You're just hoping to score with her.	game/story scripts/ch1.1-5.rpy	474	a "[what]"
ch1_s4_7_f1ed4948	a	You're just hoping to score with them.	game/story scripts/ch1.1-5.rpy	476	a "[what]"
